Year,Genre,MIR_pc_1,MIR_pc_2,lyric_pc_1,lyric_pc_2,lyric_range,MIR_range
1977,Comedy,-59.90970113608083,12.41398384991503,2.7879734115919184,2.3588564007798594,0.0,0.0
1978,Comedy,-26.455885507472242,-11.618228347986047,3.3785962191173358,1.2795978898322204,0.0,1.3322676295501877e-15
1979,Comedy,-57.239902662731865,3.6594408276970696,0.8561050742063585,4.148302274767465,0.0,0.0
1980,Comedy,-23.461540058647053,-36.90374898834533,-0.6453262465198103,2.428522872630256,0.0,0.0
1981,Comedy,-38.27124437841164,-1.1110794795295824,6.750041041330341,-1.9523066521915664,0.0,0.0
1983,Comedy,-75.8805844788363,29.994549719502878,3.3357316777042842,0.8868924236833036,0.0,0.0
1984,Comedy,-10.610444814756812,6.829278336906176,2.636334167784114,2.0118185945878295,3.1922206878662114,1.9966318729466304
1985,Comedy,11.71781210526149,6.920447494396107,1.6616373144374483,0.9769292953380949,2.1789836883544904,1.0528449437729537
1988,Comedy,6.780959040556551,-0.3452309324095745,3.824878207845792,1.3745027571090105,0.0,0.0
1989,Comedy,-34.705841082116265,80.02918650190365,-0.20668488488672926,-1.998923298056212,0.0,0.0
1991,Comedy,35.20000525251007,-17.110407016375785,5.511741207536357,6.776035842729614,0.0,0.0
1992,Comedy,-5.519371687592331,3.179899631570733,2.6150577065420872,1.4171769164627726,0.0,0.0
1993,Comedy,-38.43236447429471,0.07519012915760184,1.4403064778887054,-0.26123586510183605,0.0,0.0
1996,Comedy,-25.340904591101413,-37.86353649232492,0.6476980755999386,2.895707762636305,0.0,0.0
1997,Comedy,-19.324040472992213,25.311376428521605,3.5152181850140907,4.564087667976496,0.0,0.0
2006,Comedy,-75.22147436648015,41.02787678601865,3.1663207645990523,3.1340187055282804,0.0,1.7763568394002505e-15
2009,Comedy,-73.9778029746875,-12.909060666622093,3.238356826138154,-1.2605576284860913,0.0,1.3322676295501877e-15
2010,Comedy,-39.82005633907878,-44.79973271741197,7.247835451724999,13.179740673358127,0.0,0.0
2011,Comedy,-57.61795609360181,10.923615328208523,4.058971381553241,1.2297777452429517,1.2772951126098648,0.20388960738494102
2013,Comedy,-43.473893885169474,39.21861705088556,1.5876684900503701,5.089398798481759,0.0,0.0
1974,Folk,-7.664649627142821,-7.981035908822158,-1.2929703843150058,0.44529993541931173,2.8940210342407213,1.5307176509253209
1975,Folk,-39.50707285223402,-1.267152343676897,-1.0094494578584603,1.797856682650541,4.841230392456055,2.2274170684350088
1976,Folk,7.013906827363687,-3.4127802537962584,-0.9841198347470667,0.2580238336650214,2.7470989227294904,2.637752699629623
1977,Folk,-4.769660132466387,-25.78247555981844,-1.9964183415921863,0.7982815248947583,2.6291198730468768,1.8712437287852104
1978,Folk,-28.471091288903647,-4.782706592072021,-2.3367620099316504,0.5825095476325487,3.0928277969360334,0.8272812549755386
1979,Folk,-13.229032230238195,1.4460182307266496,-1.3810076249061987,0.20693707767315095,7.673243522644046,1.0211750810038818
