Year,Genre,MIR_novelty_score_mean,lyric_novelty_score_mean,MIR_novelty_score_median,lyric_novelty_score_median,MIR_novelty_std_dev,lyric_novelty_std_dev
1991,Vocal,0.0,0.0,0.0,0.0,,
1992,Comedy,0.0,0.0,0.0,0.0,,
1992,Country,-3.7470027081099033e-16,-1.582067810090848e-16,-0.5141299337850614,-0.03219648571055188,1.1180339887498947,1.118033988749895
1992,Electronica,1.3158198810372225e-16,2.0354088784794536e-16,-0.22273454663834708,-0.0825080046864928,1.0190493307301363,1.0190493307301363
1992,Gospel,5.551115123125783e-17,0.0,0.3973165121219353,-0.14838922675937985,1.1547005383792515,1.1547005383792512
1992,Jazz,5.551115123125783e-17,2.7755575615628914e-17,-0.06062794069275823,0.3378006212608076,1.1547005383792515,1.1547005383792515
1992,Latin,0.0,0.0,0.0,0.0,,
1992,New Age,0.0,0.0,0.0,0.0,,
1992,Pop,0.0,3.9474596431116675e-16,-0.09196036629462197,-0.4558315273421459,1.0606601717798212,1.060660171779821
1992,R&B,-1.7356018169773016e-16,-5.62138240316535e-17,-0.1918055280520408,-0.17208448588508332,1.0063898413738648,1.0063898413738648
1992,Rap,-1.149873846933198e-16,-3.9650822308041306e-17,-0.3283615345270854,-0.16876860123945298,1.009049958219026,1.009049958219026
1992,Reggae,0.0,0.0,0.0,0.0,,
1992,Rock,-3.6601546166674517e-16,1.8551468605026809e-16,-0.21876425006962166,-0.03915031413704395,1.0032414995869667,1.0032414995869667
1992,Vocal,0.0,0.0,0.0,0.0,,
1993,Comedy,0.0,0.0,0.0,0.0,,
1993,Country,-7.335402126987641e-16,3.1720657846433045e-16,0.06246332802951067,-0.1980732378174028,1.0377490433255416,1.0377490433255416
1993,Electronica,5.484501741648274e-16,2.4119595209981524e-16,-0.3064737224098784,-0.11815264514302785,1.0206207261596574,1.0206207261596574
1993,Gospel,0.0,0.0,0.0,0.0,,
1993,Jazz,5.551115123125783e-17,-8.326672684688674e-17,-0.040078879631516906,0.04501553386263829,1.1547005383792515,1.1547005383792517
1993,Pop,2.8152083838709325e-16,1.586032892321652e-17,-0.23418839863388505,-0.29765149181221795,1.0377490433255416,1.0377490433255414
1993,R&B,-1.5419764230904953e-17,-1.1564823173178714e-17,-0.2060043016678975,-0.13003355634829447,1.0070176299560267,1.007017629956027
1993,Rap,-2.910950613346447e-16,9.680603202524231e-17,-0.28981573550718104,-0.20973367055461556,1.006153904237491,1.006153904237491
1993,Reggae,-1.2688263138573217e-16,-3.172065784643304e-17,-0.6277088668546913,0.055808096651427656,1.0801234497346435,1.0801234497346435
1993,Rock,-2.345471164636029e-16,-2.550512353868603e-16,-0.10829613123807401,-0.06464858649269918,1.004535170659001,1.0045351706590013
1994,Country,-5.24832702550074e-16,-4.693215513188162e-16,-0.3432672156476837,-0.014794917519692665,1.023532631438318,1.023532631438318
1994,Easy,0.0,0.0,0.0,0.0,,
1994,Electronica,1.7270135938613546e-16,-8.635067969306773e-17,-0.20743132057162525,-0.23325782975992004,1.0289915108550531,1.0289915108550531
1994,Gospel,-4.440892098500626e-15,0.0,0.4938897617918067,0.2686783139046769,1.224744871391589,1.224744871391589
1994,New Age,0.0,0.0,0.0,0.0,,
1994,Pop,-5.551115123125783e-17,3.469446951953614e-16,-0.3944971792834907,-0.025422908783883102,1.0444659357341872,1.044465935734187
1994,R&B,3.785678510197255e-16,-1.9292400100043703e-16,-0.21695114391444092,-0.20787285231212424,1.0082988974836116,1.0082988974836116
1994,Rap,1.1102230246251565e-16,1.4194994386278786e-16,-0.29489074039356933,-0.13584087417488755,1.0072203103706696,1.0072203103706696
1994,Reggae,9.71445146547012e-17,2.0816681711721685e-17,-0.10429735940427459,-0.2547380163425579,1.0690449676496974,1.0690449676496974
1994,Rock,3.640075490574284e-18,-9.191190613700067e-17,-0.2277434017508717,-0.14031103016321508,1.0041237288352054,1.0041237288352054
1995,Country,5.947623346206196e-17,-5.194257722353411e-16,-0.19498318427300307,0.018577763048922502,1.0377490433255416,1.0377490433255419
1995,Electronica,-4.4408920985006264e-17,-5.329070518200751e-17,-0.2366325875488571,-0.08204452722866118,1.0206207261596576,1.0206207261596574
1995,Gospel,0.0,0.0,0.0,0.0,0.0,0.0
1995,Jazz,0.0,0.0,0.0,0.0,,
1995,Latin,-3.7007434154171886e-16,1.4802973661668753e-16,0.0327706070898286,-0.2721020795988656,1.224744871391589,1.224744871391589
1995,New Age,0.0,0.0,0.0,0.0,,
1995,Pop,2.9605947323337506e-16,-1.8503717077085943e-16,0.009074540990546668,-0.4375584686467999,1.0606601717798212,1.0606601717798216
1995,R&B,2.4671622769447924e-16,2.741291418827547e-17,-0.0006123260840494203,-0.18860665224924802,1.0062305898749053,1.0062305898749053
1995,Rap,2.577303450022685e-17,-2.32618157540509e-16,-0.13884676685391573,-0.20166024113466843,1.0060060600071377,1.0060060600071379
1995,Reggae,-1.4802973661668753e-16,1.0177044392397268e-16,-0.047492058651597696,0.218512497502759,1.0954451150103321,1.0954451150103321
